REF,COUNTRY,ADM0_A3,ZONE,ST_DATE,END_DATE,YEAR,DIS_TYPE,DIS_CATEGORY,RESPONSE_TYPE,TOT_TARGET_BENIFICIARIES,TOTAL_BUDGET
681,Zimbabwe,ZWE,Africa,7/1/2005,4/1/2006,2005,"Assistenc e to the population affected by the ""clean up"" exercise",Human related,Emergency appeal,15000,2481816
682,Albania,ALB,Africa,2/1/2005,5/1/2005,2005,Snowfalls,Natural Hydrometeorologic climatological,Information bulletin,2500,
683,Angola,AGO,Americas,3/1/2005,11/1/2005,2005,Floods,Natural Hydrometeorologic hydrological,DREF,10000,
684,Bolivia,BOL,Americas,6/1/2005,6/1/2005,2005,Social unrest,Human related,DREF,5000,
685,Bolivia,BOL,Americas,9/1/2005,12/1/2005,2005,Fire,Natural Hydrometeorologic climatological,DREF,1500,
686,Bosnia and Herzegovina,BIH,Africa,2/1/2005,3/1/2005,2005,Snowfalls,Natural Hydrometeorologic climatological,Report not found,,
687,Bosnia and Herzegovina,BIH,Europe,6/1/2005,7/1/2005,2005,Floods,Natural Hydrometeorologic hydrological,DREF,5300,
688,Bulgaria,BGR,Europe,6/1/2005,2/1/2006,2005,Floods,Natural Hydrometeorologic hydrological,DREF,5000,92666
689,Cameroon,CMR,Europe,4/1/2005,9/1/2005,2005,Cholera,Natural Biological,DREF,12000,
690,Chad,TCD,Europe,7/1/2005,2/1/2006,2005,Central African refugees,Human related,Information bulletin,missing data,
691,Chile,CHL,Americas,6/1/2005,7/1/2005,2005,Earthquake,Natural Geophysical,DREF,missing data,
695,East Timor,TLS,Asia Pacific,3/1/2005,7/1/2005,2005,Food Insecurity,Human related,DREF,4000,50000
696,Egypt,EGY,Middle East and North Africa,7/1/2005,10/1/2005,2005,Bomb Blast,Technological Miscellaneous accident,DREF,missing data,0
697,El Salvador,SLV,Americas,5/1/2005,12/1/2005,2005,Tropical Storm Adrian,Natural Hydrometeorologic meteorological,Report not found,,
699,Honduras,HND,Americas,11/1/2005,3/1/2006,2005,Tropical storm Gamma,Natural Hydrometeorologic meteorological,DREF,5000,
704,Paraguay,PRY,Americas,10/1/2005,12/1/2005,2005,Drought,Natural Hydrometeorologic climatological,DREF,29880,
705,Peru,PER,Americas,9/1/2005,12/1/2005,2005,Earthquake,Natural Geophysical,DREF,2500,
706,Russia,RUS,Europe,12/1/2005,6/1/2006,2005,Spill of Toxic waste,Technological Industrial accident,DREF,4560,36000
707,Russia,RUS,Europe,11/1/2005,5/1/2005,2005,Avian flu,Natural Biological,Report not found,,
709,Sudan,SDN,Africa,11/1/2005,8/1/2007,2005,Humanitarian assistance to returnees and affected communities,Human related,Emergency appeal,145000,14097272
710,Tunisia,TUN,Middle East and North Africa,9/1/2005,7/1/2005,2005,Kelibia Tornado,Natural Hydrometeorologic meteorological,DREF,missing data,11000
711,Uganda,UGA,Africa,2/1/2005,9/1/2005,2005,Congolese refugees,Human related,DREF,5000,
712,Ukraine,UKR,Europe,12/1/2005,1/1/2006,2005,avian flu awareness campaign,Natural Biological,Report not found,,
713,Venezuela,VEN,Americas,2/1/2005,,2005,Floods,Natural Hydrometeorologic hydrological,Information bulletin,5000,
715,Afghanistan,AFG,Asia Pacific,3/1/2005,10/1/2006,2005,Spring Floods,Natural Hydrometeorologic hydrological,Emergency appeal,70000,1648032
717,China,CHN,Asia Pacific,11/1/2005,2/1/2006,2005,Jiangxi Earthquake,Natural Geophysical,DREF,missing data,130000
718,Russia,RUS,Europe,9/1/2004,12/1/2007,2004,"Hostage Crisis in Beslan, North Ossetia",Human related,Emergency appeal,5000,2590046
720,Morocco,MAR,Middle East and North Africa,2/1/2004,12/1/2005,2004,Earthquake,Natural Geophysical,Emergency appeal,30000,2832086
721,Kenya,KEN,Africa,8/1/2004,8/1/2005,2004,Drought,Natural Hydrometeorologic climatological,Emergency appeal,308000,2121677
722,Bangladesh,BGD,Asia Pacific,7/1/2004,6/1/2005,2004,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,1407500,7051000
723,India,IND,Asia Pacific,7/1/2004,10/1/2005,2004,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,200000,2034912
724,Haiti,HTI,Americas,9/1/2004,11/1/2005,2004,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,50000,11673000
725,Cuba,CUB,Americas,9/1/2004,7/1/2005,2004,Hurricane Charley ,Natural Hydrometeorologic Meteorological,Emergency appeal,25000,2419000
726,Madagascar,MDG,Africa,2/1/2004,6/1/2006,2004,Cyclone Gafilo,Natural Hydrometeorologic meteorological,Emergency appeal,25000,427000
727,Myanmar,MMR,Asia Pacific,7/1/2004,9/1/2004,2004,Cyclone,Natural Hydrometeorologic meteorological,Emergency appeal,25000,413048
728,Philippines,PHL,Asia Pacific,11/1/2004,8/1/2005,2004,Typhoon,Natural Hydrometeorologic meteorological,Emergency appeal,300000,4193878
729,Indonesia,IDN,Asia Pacific,1/1/2004,5/1/2004,2004,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,25000,904234
731,Eritrea,ERI,Africa,2/1/2004,11/1/2004,2004,Drought,Natural Hydrometeorologic climatological,Emergency appeal,50000,4910430
733,Haiti,HTI,Asia Pacific,3/1/2004,12/1/2004,2004,Social unrest,Human related,Emergency appeal,missing data,1388000
734,Namibia,NAM,Africa,4/1/2004,6/1/2004,2004,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,50000,846000
735,Bosnia and Herzegovina,BIH,Europe,4/1/2004,7/1/2004,2004,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,8412,333000
740,Colombia,COL,Americas,11/1/2004,8/1/2005,2004,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,47500,1996000
741,Indonesia,IDN,Asia Pacific,11/1/2004,12/1/2004,2004,Earthquake,Natural Geophysical,Emergency appeal,468000,1200187
743,Bangladesh,BGD,Asia Pacific,4/1/2004,12/1/2004,2004,Tornado,Natural Hydrometeorologic meteorological,Information bulletin,10000,42000
745,Togo,TGO,Africa,5/1/2004,12/1/2004,2004,cholera,Natural Biological,Information bulletin,missing data,47000
747,Tanzania,TZA,Africa,1/1/2004,12/1/2004,2004,Food emergency,Human related,Information bulletin,89000,
749,Djibouti,DJI,Africa,1/2/2004,12/2/2004,2004,Floods,Natural Hydrometeorologic hydrological,Information bulletin,3000,
751,Zambia,ZMB,Africa,4/1/2004,12/1/2004,2004,Floods,Natural Hydrometeorologic hydrological,Information bulletin,20000,20000
752,Colombia,COL,Americas,7/1/2004,12/1/2004,2004,Floods,Natural Hydrometeorologic hydrological,Information bulletin,34622,50000
