ARC_num,DisasterName,Date,Region,Country,ADM0_A3,TotalAffected,Money,PeopleDeployed,TotalSupplies,HygieneKits,Blankets,JerryCans,Buckets,Tents,KitchenSets,SleepingMats,MosquitoNets,FoodParcels,Tarps,Vehicles,OtherItems,RiceBags,TotalContributions
234,West Sumatra Indonesia Earthquake,9/2/2009,Europe/Asia,Indonesia,IDN,1000000,500000,1,44181,,20981,,,,,,13200,,10000,,,,1664193
233,Southeast Asia Typhoons - Philippines,9/2/2009,Europe/Asia,Philippines,PHL,1000000,1050000,2,22300,,4000,10000,,,1500,,6800,,,,,,1168000
233,Southeast Asia Typhoons - Vietnam,9/2/2009,Europe/Asia,Vietnam,VNM,3000000,950000,1,,,,,,,,,,,,,,,2150000
231,Mexico Hurricane Jimena,9/3/2009,LAC,Mexico,MEX,100000,0,1,13840,1840,,,,,3000,,6000,,,,3000,,259500
230,West & Central Africa Floods - Burkina Faso,9/10/2009,Africa,Burkina Faso,BFA,600000,0,1,,7500,37500,7500,7500,500,7500,,,,,,,,0
230,West & Central Africa Floods - Senegal,9/10/2009,Africa,Senegal,SEN,156000,0,3,,,,,,,,,,,,,,,0
235,Samoa Islands Tsunami,10/1/2009,Europe/Asia,Samoa,WSM,10000,100000,,,,,,,,,,,,,,,,100000
236,India Floods,10/27/2009,Europe/Asia,India,IND,4100000,0,,7500,,,,,,7500,,,,,,,,190000
237,Kenya Drought,11/5/2009,Africa,Kenya,KEN,3800000,100000,,,,,,,,,,,,,,,,100000
238,Haiti Floods,11/12/2009,LAC,Haiti,HTI,2500,0,1,,,,,,,,,,,,,,,0
239,El Salvador Floods,11/16/2009,LAC,El Salvador,SLV,75000,243605,,1000,500,,,,,500,,,,,,,,274845
240,Haiti Earthquake,1/12/2010,LAC,Haiti,HTI,2000000,46674850,82,5143307,,,,,,,,,,,,,,139611532
241,Tanzania Floods,1/25/2010,Africa,Tanzania,TZA,50000,200000,,,,,,,,,,,,,,,,200000
242,Chile Earthquake,2/27/2010,LAC,Chile,CHL,2000000,1000000,2,6160,1160,,5000,,,,,,,,,,,6400000
243,China Earthquake,4/10/2010,Europe/Asia,China,CHN,100000,500000,,,,198970,,,,,,,,,,,,500000
